model,mr,n,viol_estrita,mvr_estrita,ic95_estrita_lo,ic95_estrita_hi,viol_defeito,mvr_defeito,ic95_defeito_lo,ic95_defeito_hi
llama3.2:3b,mr1,27,2,0.07407407407407407,0.020554221697383537,0.2336997729073062,0,0.0,1.2149183920775522e-17,0.1245590371446358
llama3.2:3b,mr2,27,2,0.07407407407407407,0.020554221697383537,0.2336997729073062,2,0.07407407407407407,0.020554221697383537,0.2336997729073062
llama3.2:3b,mr3,27,11,0.4074074074074074,0.24514513372857347,0.5927361694463591,5,0.18518518518518517,0.08180586574285321,0.36699056505191746
qwen3.5:4b,mr1,28,3,0.10714285714285714,0.0371176920547995,0.2719622536765708,0,0.0,0.0,0.12064720365810762
qwen3.5:4b,mr2,28,1,0.03571428571428571,0.006332356497541882,0.17712576118498663,1,0.03571428571428571,0.006332356497541882,0.17712576118498663
qwen3.5:4b,mr3,28,8,0.2857142857142857,0.15253815848329966,0.47059635737017497,1,0.03571428571428571,0.006332356497541882,0.17712576118498663
